Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS.NS,EQ,INE742F01042
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT.NS,EQ,INE021A01026
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK.NS,EQ,INE238A01034
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO.NS,EQ,INE917I01010
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE.NS,EQ,INE296A01024
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV.NS,EQ,INE918I01018
Bharat Petroleum Corporation Ltd.,ENERGY,BPCL.NS,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOM,BHARTIARTL.NS,EQ,INE397D01024
Bharti Infratel Ltd.,TELECOM,INFRATEL.NS,EQ,INE121J01017
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA.NS,EQ,INE216A01030
Cipla Ltd.,PHARMA,CIPLA.NS,EQ,INE059A01026
Coal India Ltd.,METALS,COALINDIA.NS,EQ,INE522F01014
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT.NS,EQ,INE066A01013
GAIL (India) Ltd.,ENERGY,GAIL.NS,EQ,INE129A01019
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM.NS,EQ,INE047A01021
HCL Technologies Ltd.,IT,HCLTECH.NS,EQ,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK.NS,EQ,INE040A01034
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO.NS,EQ,INE158A01026
Hindalco Industries Ltd.,METALS,HINDALCO.NS,EQ,INE038A01020
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR.NS,EQ,INE030A01027
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC.NS,EQ,INE001A01036
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK.NS,EQ,INE090A01021
ITC Ltd.,CONSUMER GOODS,ITC.NS,EQ,INE154A01025
Indian Oil Corporation Ltd.,ENERGY,IOC.NS,EQ,INE242A01010
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK.ns,EQ,INE095A01012
Infosys Ltd.,IT,INFY.NS,EQ,INE009A01021
JSW Steel Ltd.,METALS,JSWSTEEL.NS,EQ,INE019A01038
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK.NS,EQ,INE237A01028
Larsen & Toubro Ltd.,CONSTRUCTION,LT.NS,EQ,INE018A01030
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M.NS,EQ,INE101A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI.NS,EQ,INE585B01010
NTPC Ltd.,ENERGY,NTPC.NS,EQ,INE733E01010
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND.NS,EQ,INE239A01016
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC.NS,EQ,INE213A01029
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID.NS,EQ,INE752E01010
Reliance Industries Ltd.,ENERGY,RELIANCE.NS,EQ,INE002A01018
State Bank of India,FINANCIAL SERVICES,SBIN.NS,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA.NS,EQ,INE044A01036
Tata Consultancy Services Ltd.,IT,TCS.NS,EQ,INE467B01029
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS.NS,EQ,INE155A01022
Tata Steel Ltd.,METALS,TATASTEEL.NS,EQ,INE081A01012
Tech Mahindra Ltd.,IT,TECHM.NS,EQ,INE669C01036
Titan Company Ltd.,CONSUMER GOODS,TITAN.NS,EQ,INE280A01028
UPL Ltd.,FERTILISERS & PESTICIDES,UPL.NS,EQ,INE628A01036
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO.NS,EQ,INE481G01011
Vedanta Ltd.,METALS,VEDL.NS,EQ,INE205A01025
Wipro Ltd.,IT,WIPRO.NS,EQ,INE075A01022
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK.NS,EQ,INE528G01027
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL.NS,EQ,INE256A01028
,^NSEBANK,^NSEBANK,,
